HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
60,1,2,41,18,2,1,12,5,4,3,4,3
42,5,0,44,17,1,2,12,5,2,3,7,3
40,2,1,57,16,1,1,12,5,7,6,7,1
50,2,0,60,12,1,1,12,5,3,4,1,2
40,1,1,46,14,1,1,12,5,0,5,4,2
80,3,3,59,14,2,2,9,5,0,2,8,1
80,1,2,51,13,2,2,12,5,1,4,7,1
41,1,1,25,18,2,1,11,5,7,1,2,2
40,3,0,25,15,2,2,12,5,0,1,0,6
40,1,4,35,13,2,1,12,5,3,6,1,2
40,4,1,31,12,1,1,12,5,3,4,0,6
40,5,2,59,14,2,1,12,5,0,4,8,1
40,1,2,45,12,2,2,12,5,3,4,0,3
40,4,2,42,14,2,1,12,5,1,4,6,4
50,3,3,58,15,2,1,12,5,0,4,5,1
30,1,3,36,15,1,2,12,5,3,4,2,5
89,1,6,37,12,1,2,12,5,6,7,1,1
44,3,2,33,15,2,1,12,5,5,4,3,1
55,1,1,30,16,2,1,12,5,4,4,0,4
45,1,2,50,14,2,1,12,5,6,5,4,2
55,1,0,60,16,1,1,12,5,6,7,0,5
20,1,4,52,13,1,1,9,9,4,7,0,6
50,3,3,45,12,1,1,12,9,5,3,2,5
35,1,3,32,14,2,1,12,9,3,4,5,1
35,5,0,41,14,1,1,12,9,2,2,1,6
40,2,0,59,16,2,1,12,9,0,4,0,2
40,1,1,32,14,1,1,12,9,6,5,0,6
40,3,0,44,16,1,1,12,9,5,6,2,3
50,1,0,27,14,2,1,12,9,2,4,0,6
40,3,0,38,14,1,1,12,9,6,6,6,2
44,5,1,32,16,2,1,12,9,2,3,1,4
40,5,0,34,16,1,1,12,9,1,3,0,4
55,1,2,47,14,1,1,12,9,3,4,1,5
60,5,0,28,13,1,1,12,2,3,4,3,3
47,3,2,39,18,2,1,12,2,4,5,4,2
60,3,3,55,16,2,1,12,2,5,6,6,1
40,5,0,33,16,2,1,12,2,5,4,0,6
40,1,0,43,14,2,1,12,2,2,4,0,5
60,5,1,43,16,2,1,12,2,0,3,4,2
40,1,4,31,15,2,1,12,2,1,4,3,1
40,1,2,38,14,1,1,12,2,1,4,5,2
46,5,0,49,13,2,1,12,2,5,4,2,2
42,1,3,50,12,2,1,12,2,1,5,2,2
50,1,0,50,16,1,1,12,2,6,6,2,1
57,3,0,47,19,2,1,12,2,1,5,0,2
70,5,0,28,12,2,1,8,2,4,4,0,6
40,4,3,34,13,2,1,12,2,1,4,7,2
36,1,1,39,16,2,1,12,5,3,5,3,2
40,1,1,56,16,1,1,12,5,2,4,2,2
30,1,5,48,18,1,1,12,5,6,7,7,1
55,4,1,52,14,1,1,12,5,4,4,0,2
30,5,2,27,14,2,1,12,5,0,4,4,2
40,1,4,42,11,2,1,11,5,0,5,7,1
